entrada,saida,formato_completo
mova-se 33 cm recuar e 58 cm frente,33B58F,[mova-se 33 cm recuar e 58 cm frente → 33B58F]
movimente 78 centímetro à frente,78F,[movimente 78 centímetro à frente → 78F]
movimente 46 milímetros na frente,46F,[movimente 46 milímetros na frente → 46F]
"primeiro 9 para atrás, depois 3 para direita",9B3R,"[primeiro 9 para atrás, depois 3 para direita → 9B3R]"
desloca pra esquerda 65 m,65L,[desloca pra esquerda 65 m → 65L]
desloque 93 centímetros para atrás,93B,[desloque 93 centímetros para atrás → 93B]
"movimente-se 9 para atrás, 50 do lado esquerdo e 43 pra direita",9B50L43R,"[movimente-se 9 para atrás, 50 do lado esquerdo e 43 pra direita → 9B50L43R]"
faça movimento em frente de 35 centímetro,35F,[faça movimento em frente de 35 centímetro → 35F]
desloque-se 21 centimetro para trás,21B,[desloque-se 21 centimetro para trás → 21B]
mova 77 milímetros à esquerda e 91 milímetros lado esquerdo,77L91L,[mova 77 milímetros à esquerda e 91 milímetros lado esquerdo → 77L91L]
desloque-se 82 retroceder e posteriormente 10 pra frente,82B10F,[desloque-se 82 retroceder e posteriormente 10 pra frente → 82B10F]
"realize movimento triplo: 56 para trás, 38 para atrás, 72 pra frente",56B38B72F,"[realize movimento triplo: 56 para trás, 38 para atrás, 72 pra frente → 56B38B72F]"
movimenta 4 unidades para na frente,4F,[movimenta 4 unidades para na frente → 4F]
62 mm na direção voltar,62B,[62 mm na direção voltar → 62B]
dirija-se na frente 41 mm,41F,[dirija-se na frente 41 mm → 41F]
faça movimento do lado esquerdo de 13 centimetros,13L,[faça movimento do lado esquerdo de 13 centimetros → 13L]
faça movimento para a esquerda de 65 passos,65L,[faça movimento para a esquerda de 65 passos → 65L]
"primeiro 28 na frente, então 82 à esquerda, finalmente 71 pra direita",28F82L71R,"[primeiro 28 na frente, então 82 à esquerda, finalmente 71 pra direita → 28F82L71R]"
"13 centímetros rumo a esquerda, 77 centímetros rumo a voltar",13L77B,"[13 centímetros rumo a esquerda, 77 centímetros rumo a voltar → 13L77B]"
desloque 53 centímetros na frente,53F,[desloque 53 centímetros na frente → 53F]
proceda 69 m para a direita,69R,[proceda 69 m para a direita → 69R]
faça movimento para frente de 46 cm,46F,[faça movimento para frente de 46 cm → 46F]
"83 lado esquerdo, 67 pra direita, 72 para esquerda",83L67R72L,"[83 lado esquerdo, 67 pra direita, 72 para esquerda → 83L67R72L]"
caminha 16 centímetros para direita e 28 centímetros retroceder,16R28B,[caminha 16 centímetros para direita e 28 centímetros retroceder → 16R28B]
realize deslocamento de 22 centímetros para trás,22B,[realize deslocamento de 22 centímetros para trás → 22B]
13 metros na direção trás,13B,[13 metros na direção trás → 13B]
"realize movimento triplo: 51 pra esquerda, 59 lado direito, 47 à esquerda",51L59R47L,"[realize movimento triplo: 51 pra esquerda, 59 lado direito, 47 à esquerda → 51L59R47L]"
80 centimetro lado direito,80R,[80 centimetro lado direito → 80R]
vá 30 para direita e depois 88 para a esquerda,30R88L,[vá 30 para direita e depois 88 para a esquerda → 30R88L]
siga do lado esquerdo 46 centimetro,46L,[siga do lado esquerdo 46 centimetro → 46L]
"prossiga 43 adiante, depois 92 voltar, então 77 em frente e finalmente 5 frente",43F92B77F5F,"[prossiga 43 adiante, depois 92 voltar, então 77 em frente e finalmente 5 frente → 43F92B77F5F]"
"execute 82 direita, 54 pra trás, 67 na frente e 59 avante",82R54B67F59F,"[execute 82 direita, 54 pra trás, 67 na frente e 59 avante → 82R54B67F59F]"
caminha 84 passos para direita e 83 passos lado esquerdo,84R83L,[caminha 84 passos para direita e 83 passos lado esquerdo → 84R83L]
"prossiga 10 para voltar, 81 para esquerda e 26 para direita",10B81L26R,"[prossiga 10 para voltar, 81 para esquerda e 26 para direita → 10B81L26R]"
navegue 17 metros lado esquerdo e 18 metros à esquerda,17L18L,[navegue 17 metros lado esquerdo e 18 metros à esquerda → 17L18L]
"85 para esquerda, 69 do lado direito",85L69R,"[85 para esquerda, 69 do lado direito → 85L69R]"
mova 22 centímetro trás e 77 centímetro atrás,22B77B,[mova 22 centímetro trás e 77 centímetro atrás → 22B77B]
"desloca 91 para a direita, 46 para atrás e 44 para frente",91R46B44F,"[desloca 91 para a direita, 46 para atrás e 44 para frente → 91R46B44F]"
avance na direção de frente 29 centímetro,29F,[avance na direção de frente 29 centímetro → 29F]
caminha na direção de a esquerda 54 mm,54L,[caminha na direção de a esquerda 54 mm → 54L]
"53 para atrás, 54 esquerda, 66 à esquerda",53B54L66L,"[53 para atrás, 54 esquerda, 66 à esquerda → 53B54L66L]"
"execute 63 para trás, 6 em frente, 10 adiante e 29 à frente",63B6F10F29F,"[execute 63 para trás, 6 em frente, 10 adiante e 29 à frente → 63B6F10F29F]"
"22 para a direita, 8 adiante, 95 para direita, 39 frente",22R8F95R39F,"[22 para a direita, 8 adiante, 95 para direita, 39 frente → 22R8F95R39F]"
desloca 75 centímetros para esquerdo,75L,[desloca 75 centímetros para esquerdo → 75L]
"faça 45 milímetros esquerda, logo após 57 milímetros para a esquerda",45L57L,"[faça 45 milímetros esquerda, logo após 57 milímetros para a esquerda → 45L57L]"
"primeiro 50 à direita, depois 7 pra trás",50R7B,"[primeiro 50 à direita, depois 7 pra trás → 50R7B]"
execute movimento de 36 m retroceder,36B,[execute movimento de 36 m retroceder → 36B]
"primeiro 88 para a esquerda, depois 89 para direita",88L89R,"[primeiro 88 para a esquerda, depois 89 para direita → 88L89R]"
avance 50 para esquerdo e 30 para direito,50L30R,[avance 50 para esquerdo e 30 para direito → 50L30R]
29 metros frente,29F,[29 metros frente → 29F]
move 71 milímetros para trás,71B,[move 71 milímetros para trás → 71B]
ande 91 metros direita,91R,[ande 91 metros direita → 91R]
mova-se 21 metros voltar na sequência 32 metros para direita na sequência 29 metros à direita,21B32R29R,[mova-se 21 metros voltar na sequência 32 metros para direita na sequência 29 metros à direita → 21B32R29R]
siga 40 m para trás,40B,[siga 40 m para trás → 40B]
"faça 38 centímetros à frente, logo após 37 centímetros pra direita",38F37R,"[faça 38 centímetros à frente, logo após 37 centímetros pra direita → 38F37R]"
vá 13 lado esquerdo,13L,[vá 13 lado esquerdo → 13L]
vá 28 para a esquerda,28L,[vá 28 para a esquerda → 28L]
avance 96 frente e depois 92 retroceder,96F92B,[avance 96 frente e depois 92 retroceder → 96F92B]
desloque-se 16 para atrás e posteriormente 91 adiante,16B91F,[desloque-se 16 para atrás e posteriormente 91 adiante → 16B91F]
"17 para direita, 9 do lado esquerdo",17R9L,"[17 para direita, 9 do lado esquerdo → 17R9L]"
"movimente 21 milímetros lado direito, após isso 83 milímetros atrás",21R83B,"[movimente 21 milímetros lado direito, após isso 83 milímetros atrás → 21R83B]"
"faça 69 metros voltar, na sequência 65 metros do lado direito",69B65R,"[faça 69 metros voltar, na sequência 65 metros do lado direito → 69B65R]"
"21 lado direito, 9 atrás, 99 frente",21R9B99F,"[21 lado direito, 9 atrás, 99 frente → 21R9B99F]"
"move 45 lado direito, depois 93 pra direita, então 85 em frente e finalmente 71 para esquerda",45R93R85F71L,"[move 45 lado direito, depois 93 pra direita, então 85 em frente e finalmente 71 para esquerda → 45R93R85F71L]"
proceda 29 centimetro à direita,29R,[proceda 29 centimetro à direita → 29R]
"90 do lado esquerdo, 62 avante",90L62F,"[90 do lado esquerdo, 62 avante → 90L62F]"
siga 100m para atrás,100B,[siga 100m para atrás → 100B]
ande 23 cm lado esquerdo e 57 cm à frente,23L57F,[ande 23 cm lado esquerdo e 57 cm à frente → 23L57F]
movimente-se 86 passos do lado direito depois 80 passos em frente depois 93 passos à direita,86R80F93R,[movimente-se 86 passos do lado direito depois 80 passos em frente depois 93 passos à direita → 86R80F93R]
faça movimento para esquerda de 4 m,4L,[faça movimento para esquerda de 4 m → 4L]
realize deslocamento de 97 cm retroceder,97B,[realize deslocamento de 97 cm retroceder → 97B]
navegue do lado esquerdo 69 m,69L,[navegue do lado esquerdo 69 m → 69L]
mova em direção à trás 6 metros,6B,[mova em direção à trás 6 metros → 6B]
realize movimento de 33 lado esquerdo seguido de 100 voltar,33L100B,[realize movimento de 33 lado esquerdo seguido de 100 voltar → 33L100B]
"siga 68 para a direita, 50 trás e 100 pra frente",68R50B100F,"[siga 68 para a direita, 50 trás e 100 pra frente → 68R50B100F]"
"24 centimetros em direção à adiante, 38 centimetros em direção à frente",24F38F,"[24 centimetros em direção à adiante, 38 centimetros em direção à frente → 24F38F]"
"27 centímetros em direção a direita, 57 centímetros em direção a adiante",27R57F,"[27 centímetros em direção a direita, 57 centímetros em direção a adiante → 27R57F]"
"movimente 81 m adiante, após isso 89 m pra esquerda",81F89L,"[movimente 81 m adiante, após isso 89 m pra esquerda → 81F89L]"
vá voltar 50 metros,50B,[vá voltar 50 metros → 50B]
movimente 2 unidades do lado esquerdo,2L,[movimente 2 unidades do lado esquerdo → 2L]
mova-se 63 para atrás e depois 15 adiante,63B15F,[mova-se 63 para atrás e depois 15 adiante → 63B15F]
"movimente 46 m retroceder, após isso 88 m para esquerda",46B88L,"[movimente 46 m retroceder, após isso 88 m para esquerda → 46B88L]"
"66 em frente, 11 esquerda",66F11L,"[66 em frente, 11 esquerda → 66F11L]"
navegue 35passos atrás,35B,[navegue 35passos atrás → 35B]
realize movimento de 82 direita seguido de 51 à frente,82R51F,[realize movimento de 82 direita seguido de 51 à frente → 82R51F]
desloque-se 71 adiante e posteriormente 95 avante,71F95F,[desloque-se 71 adiante e posteriormente 95 avante → 71F95F]
"58 do lado esquerdo, 56 para frente",58L56F,"[58 do lado esquerdo, 56 para frente → 58L56F]"
navegue em direção a avante 59 centímetros,59F,[navegue em direção a avante 59 centímetros → 59F]
"99 centímetros em direção à direita, 30 centímetros em direção à em frente",99R30F,"[99 centímetros em direção à direita, 30 centímetros em direção à em frente → 99R30F]"
movimente-se 18 unidades esquerda em seguida 74 unidades para esquerda em seguida 39 unidades pra trás,18L74L39B,[movimente-se 18 unidades esquerda em seguida 74 unidades para esquerda em seguida 39 unidades pra trás → 18L74L39B]
mova 88centimetro à direita,88R,[mova 88centimetro à direita → 88R]
"faça 31 milímetros voltar, em seguida 85 milímetros pra frente",31B85F,"[faça 31 milímetros voltar, em seguida 85 milímetros pra frente → 31B85F]"
execute 70 para atrás então 100 avante,70B100F,[execute 70 para atrás então 100 avante → 70B100F]
desloque-se 76 pra direita e posteriormente 57 do lado esquerdo,76R57L,[desloque-se 76 pra direita e posteriormente 57 do lado esquerdo → 76R57L]
faça movimento recuar de 67 milímetros,67B,[faça movimento recuar de 67 milímetros → 67B]
mova 69 metros direita,69R,[mova 69 metros direita → 69R]
100 centimetros na direção direita,100R,[100 centimetros na direção direita → 100R]
"sequência completa: 35 mm trás, 5 mm voltar, 58 mm do lado esquerdo, 15 mm para direita",35B5B58L15R,"[sequência completa: 35 mm trás, 5 mm voltar, 58 mm do lado esquerdo, 15 mm para direita → 35B5B58L15R]"
execute 64 recuar após isso 52 à frente,64B52F,[execute 64 recuar após isso 52 à frente → 64B52F]
"siga 56 para frente, 51 para direita e 31 para direito",56F51R31R,"[siga 56 para frente, 51 para direita e 31 para direito → 56F51R31R]"
movimente 53 centímetros para esquerda,53L,[movimente 53 centímetros para esquerda → 53L]
faça movimento adiante de 8 unidades,8F,[faça movimento adiante de 8 unidades → 8F]
"movimente 75 milímetros para trás, após isso 87 milímetros retroceder",75B87B,"[movimente 75 milímetros para trás, após isso 87 milímetros retroceder → 75B87B]"
"faça 50 metros voltar, depois 7 metros direita e por fim 98 metros para direita",50B7R98R,"[faça 50 metros voltar, depois 7 metros direita e por fim 98 metros para direita → 50B7R98R]"
realize deslocamento de 39 centímetros para a direita,39R,[realize deslocamento de 39 centímetros para a direita → 39R]
"execute 24 para trás, 17 recuar, 85 para esquerda e 72 na frente",24B17B85L72F,"[execute 24 para trás, 17 recuar, 85 para esquerda e 72 na frente → 24B17B85L72F]"
locomova-se 52 centimetro adiante,52F,[locomova-se 52 centimetro adiante → 52F]
execute 7 pra esquerda e 99 recuar,7L99B,[execute 7 pra esquerda e 99 recuar → 7L99B]
prossiga 56 centímetro em frente após isso 26 centímetro para frente após isso 91 centímetro pra esquerda,56F26F91L,[prossiga 56 centímetro em frente após isso 26 centímetro para frente após isso 91 centímetro pra esquerda → 56F26F91L]
"84 para a direita, 66 pra direita, 79 para frente",84R66R79F,"[84 para a direita, 66 pra direita, 79 para frente → 84R66R79F]"
realize movimento de 40 voltar seguido de 79 esquerda,40B79L,[realize movimento de 40 voltar seguido de 79 esquerda → 40B79L]
realize movimento de 12 à esquerda seguido de 1 para a esquerda,12L1L,[realize movimento de 12 à esquerda seguido de 1 para a esquerda → 12L1L]
41 metros frente,41F,[41 metros frente → 41F]
"execute sequência: 78 pra esquerda, 20 recuar, 40 à esquerda",78L20B40L,"[execute sequência: 78 pra esquerda, 20 recuar, 40 à esquerda → 78L20B40L]"
mova 30 em frente e depois 3 adiante,30F3F,[mova 30 em frente e depois 3 adiante → 30F3F]
mova 17 cm lado direito,17R,[mova 17 cm lado direito → 17R]
"realize movimento triplo: 25 voltar, 16 direita, 49 para esquerda",25B16R49L,"[realize movimento triplo: 25 voltar, 16 direita, 49 para esquerda → 25B16R49L]"
navegue rumo a atrás 47 unidades,47B,[navegue rumo a atrás 47 unidades → 47B]
desloque-se 78 mm para esquerda,78L,[desloque-se 78 mm para esquerda → 78L]
realize deslocamento de 85 metros adiante,85F,[realize deslocamento de 85 metros adiante → 85F]
siga 38cm em frente,38F,[siga 38cm em frente → 38F]
"execute sequência: 17 para trás, 9 para a direita, 87 para atrás",17B9R87B,"[execute sequência: 17 para trás, 9 para a direita, 87 para atrás → 17B9R87B]"
locomova-se em frente 23 m,23F,[locomova-se em frente 23 m → 23F]
execute 9 pra frente em seguida 96 para frente,9F96F,[execute 9 pra frente em seguida 96 para frente → 9F96F]
"move 4 lado direito, 71 para frente e 89 esquerda",4R71F89L,"[move 4 lado direito, 71 para frente e 89 esquerda → 4R71F89L]"
movimente 27 passos à direita,27R,[movimente 27 passos à direita → 27R]
realize deslocamento de 56 unidades recuar,56B,[realize deslocamento de 56 unidades recuar → 56B]
"33 retroceder, 31 do lado direito, 28 para frente",33B31R28F,"[33 retroceder, 31 do lado direito, 28 para frente → 33B31R28F]"
"locomova-se 41 para frente, 74 para a esquerda e 29 para direito",41F74L29R,"[locomova-se 41 para frente, 74 para a esquerda e 29 para direito → 41F74L29R]"
movimente 16 cm para trás,16B,[movimente 16 cm para trás → 16B]
13 centímetro na direção voltar,13B,[13 centímetro na direção voltar → 13B]
"execute sequência: 66 à direita, 68 à esquerda, 40 pra esquerda",66R68L40L,"[execute sequência: 66 à direita, 68 à esquerda, 40 pra esquerda → 66R68L40L]"
faça movimento trás de 98 mm,98B,[faça movimento trás de 98 mm → 98B]
"primeiro 20 pra esquerda, depois 69 esquerda",20L69L,"[primeiro 20 pra esquerda, depois 69 esquerda → 20L69L]"
mova-se 88 centimetros para esquerda,88L,[mova-se 88 centimetros para esquerda → 88L]
desloque 8 centimetros lado esquerdo,8L,[desloque 8 centimetros lado esquerdo → 8L]
"movimente 48 centimetros na frente, após isso 79 centimetros pra trás",48F79B,"[movimente 48 centimetros na frente, após isso 79 centimetros pra trás → 48F79B]"
"primeiro 90 para esquerda, então 23 pra frente, finalmente 96 lado esquerdo",90L23F96L,"[primeiro 90 para esquerda, então 23 pra frente, finalmente 96 lado esquerdo → 90L23F96L]"
